long,lat,tipo
-58.407082,-34.624376,Led
-58.408889,-34.624578,Led
-58.402781,-34.621122,Led
-58.402482,-34.622438,Led
-58.401849,-34.625199,Led
-58.409004,-34.623497,Led
-58.400798,-34.620958,Led
-58.400283,-34.624881,Led
-58.407215,-34.623197,Led
-58.398196,-34.621884,Led
-58.401771,-34.62103,Led
-58.40922,-34.621256,Led
-58.404313,-34.622728,Led
-58.400611,-34.622213,Led
-58.409117,-34.622386,Led
-58.398502,-34.620777,Led
-58.397109,-34.620695,Led
-58.396857,-34.628084,Led
-58.398605,-34.628404,Led
-58.399918,-34.628547,Led
-58.401109,-34.628681,Led
-58.402382,-34.628832,Led
-58.403532,-34.628976,Led
-58.405441,-34.629188,Led
-58.406528,-34.629292,Led
-58.40838,-34.629503,Led
-58.403758,-34.627751,Led
-58.40667,-34.628106,Led
-58.404316,-34.627825,Led
-58.406413,-34.630233,Led
-58.402891,-34.626583,Led
-58.401579,-34.626371,Led
-58.401337,-34.627441,Led
-58.398765,-34.627166,Led
-58.397069,-34.626917,Led
-58.403162,-34.625437,Led
-58.402671,-34.627607,Led
-58.400102,-34.627299,Led
-58.405621,-34.629284,Led
-58.400196,-34.626148,Led
-58.408501,-34.628336,Led
-58.405276,-34.627947,Led
-58.395997,-34.618378,Led
-58.397524,-34.618451,Led
-58.398952,-34.618529,Led
-58.400033,-34.61859,Led
-58.400987,-34.618649,Led
-58.402252,-34.618744,Led
-58.403501,-34.618842,Led
-58.405038,-34.619133,Led
-58.406394,-34.619419,Led
-58.407782,-34.619716,Led
-58.409264,-34.620019,Led
-58.407576,-34.620848,Led
-58.406247,-34.620543,Led
-58.40479,-34.620174,Led
-58.403194,-34.619811,Led
-58.404483,-34.621471,Led
-58.400899,-34.61973,Led
-58.399945,-34.619682,Led
-58.397452,-34.619588,Led
-58.402695,-34.616724,Led
-58.40117,-34.616541,Led
-58.407366,-34.622042,Led
-58.399153,-34.616315,Led
-58.397732,-34.616151,Led
-58.396114,-34.615978,Led
-58.400225,-34.616424,Led
-58.404581,-34.61581,Led
-58.40934,-34.618682,Led
-58.408046,-34.618273,Led
-58.405461,-34.61744,Led
-58.40412,-34.617037,Led
-58.381419,-34.624613,Led
-58.382916,-34.624662,Led
-58.385809,-34.623568,Led
-58.389666,-34.62506,Led
-58.392546,-34.625286,Led
-58.385757,-34.626101,Led
-58.375055,-34.62563,Led
-58.385702,-34.628419,Led
-58.381338,-34.630826,Led
-58.382629,-34.631525,Led
-58.383966,-34.632351,Led
-58.385385,-34.63277,Led
-58.387645,-34.633428,Led
-58.388751,-34.633723,Led
-58.390354,-34.634089,Led
-58.390899,-34.63423,Led
-58.391962,-34.634466,Led
-58.386525,-34.633108,Led
-58.38426,-34.62909,Led
-58.384189,-34.629831,Led
-58.390789,-34.630499,Led
-58.391502,-34.63065,Led
-58.382726,-34.6297,Led
-58.382663,-34.630849,Led
-58.384105,-34.630981,Led
